,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
35774,9786098183597,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35775,9786094780288,edited volumes,2019,Lithuania,Lietuvos nacionalinis muziejus,not publishers,museums,humanities,
35776,9785417011139,edited volumes,2019,Lithuania,Mintis,other publishers,general publishers,humanities,
35777,9786098183634,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35779,9786099603810,edited volumes,2019,Lithuania,Rietavo Oginskių kultūros istorijos muziejus,not publishers,museums,humanities,
35780,9786098183719,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35781,9786098183573,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35782,9786098183603,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35783,9786098183689,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35784,9786098183610,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35802,9789955868552,edited volumes,2019,Lithuania,Lietuvos kultūros tyrimų institutas,not publishers,research institutions,humanities,
35819,9786058035003,edited volumes,2019,Turkey,Society and Cultural Studies Association,not publishers,societies,humanities,
35822,9786094112584,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35826,9783935536417,authored books,2019,Germany,baar-Verlag,academic publishers,academic publishers,humanities,
35827,9786094112515,authored books,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35828,9786094112553,authored books,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35829,9786094112539,authored books,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35830,9786094112522,authored books,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35832,9786094112508,authored books,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35863,9783944870694,edited volumes,2019,Germany,fibre Verlag,academic publishers,academic publishers,humanities,
35877,9781565924796,edited volumes,2019,United States of America,O'Reilly,other publishers,general publishers,humanities,
35878,9789666229369,edited volumes,2019,Ukraine,National Technical University of Ukraine,universities,university departments,humanities,
35879,9789850824158,edited volumes,2019,Belarus,"Belaruskaja navuka, Vydavecki dom",academic publishers,academic publishers,humanities,
35880,9788074654077,edited volumes,2019,Czech Republic,Pavel Mervart,other publishers,general publishers,humanities,
35891,9785987127278,edited volumes,2019,Russian Federation,Petroglif,not publishers,not publishing,humanities,
35895,9788673010953,edited volumes,2019,Serbia,University of Belgrade,universities,university departments,humanities,
35897,9786190105312,edited volumes,2019,Bulgaria,Iztok-Zapad,other publishers,general publishers,humanities,
35930,9786094252877,edited volumes,2019,Lithuania,Lietuvių literatūros ir tautosakos institutas,universities,university departments,humanities,
35938,9786094112393,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35939,9786094112546,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35940,9786094112386,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35941,9786094112409,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35942,9786094112324,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35943,9786094112492,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35944,9786094112478,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35945,9786094112430,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35946,9786094112447,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35947,9786094112454,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35948,9786094112164,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35949,9786094112416,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35950,9786094112423,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35951,9786094112461,edited volumes,2019,Lithuania,Lietuvių kalbos institutas,universities,university departments,humanities,
35967,9785449663061,edited volumes,2019,Russian Federation,Izdatelskie resheniya,intermediaries,publishing services,humanities,
35971,9786098231090,edited volumes,2019,Lithuania,Lietuvos kultūros tyrimų institutas,not publishers,research institutions,humanities,
35980,9789986766636,edited volumes,2019,Lithuania,Šiaulių „Aušros“ muziejus,not publishers,museums,humanities,
35983,9786098000054,edited volumes,2019,Lithuania,Įvaizdžio pasaulis,not publishers,not publishing,humanities,
35997,9786099610603,authored books,2019,Lithuania,Spaudos namelis,intermediaries,publishing services,humanities,
36002,9786098128093,edited volumes,2019,Lithuania,Kupiškio etnografijos muziejus,not publishers,museums,humanities,
36003,9786098154153,edited volumes,2019,Lithuania,Artseria,not publishers,societies,humanities,
36006,9783791359335,edited volumes,2019,Germany,Penguin Random House,other publishers,general publishers,humanities,
36007,9784784511440,edited volumes,2019,Japan,Shakai HyoronSha,other publishers,specialised publishers,humanities,
36008,9786090702871,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
36009,9788365390370,authored books,2019,Poland,Scholar Publishing House,academic publishers,academic publishers,humanities,
36011,9786098231106,authored books,2019,Lithuania,Lietuvos kultūros tyrimų institutas,not publishers,research institutions,humanities,
36012,9786098231199,authored books,2019,Lithuania,Lietuvos kultūros tyrimų institutas,not publishers,research institutions,humanities,
36048,9781138712553,edited volumes,2019,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
36051,9781350080416,edited volumes,2019,United Kingdom,Bloomsbury,academic publishers,academic publishers,humanities,
36058,9788380124332,edited volumes,2019,Poland,University of Silesia,universities,university departments,humanities,
36089,9786098231151,edited volumes,2019,Lithuania,Lietuvos kultūros tyrimų institutas,not publishers,research institutions,humanities,
